School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
De Smet Jesuit,34.47,36.71,71.17,3,1,1
Webb City,34.8,32.71,67.51,2,3,2
Joplin,39.2,21.5,60.7,1,19,3
Lutheran North,30.93,25.56,56.49,5,6,4
Carthage,28.84,24.7,53.54,7,9,5
Jackson,27.31,25.45,52.76,10,7,6
Christian Brothers College,29.32,22.38,51.7,6,17,7
Liberty North,23.37,27.42,50.79,14,5,8
Ft. Zumwalt North,27.97,22.3,50.27,9,18,9
Odessa,32.37,16.67,49.05,4,40,10
Rockhurst,14.71,33.75,48.45,44,2,11
Raymore-Peculiar,24.48,22.85,47.34,11,14,12
Camdenton,28.48,18.77,47.26,8,35,13
Chaminade College Prep,23.05,21.13,44.18,16,21,14
Francis Howell,20.11,23.82,43.93,23,12,15
Bolivar,23.16,20.46,43.61,15,24,16
Maryville,22.59,20.27,42.86,19,26,17
Park Hill,9.85,32.43,42.28,75,4,18
Willard,20.82,20.83,41.65,21,22,19
Lee's Summit West,18.98,22.53,41.52,25,16,20
Lathrop,22.97,18.25,41.22,17,36,21
Ladue Horton Watkins,20.29,20.44,40.72,22,25,22
West Plains,24.06,15.48,39.54,12,45,23
Staley,14.29,24.73,39.02,46,8,24
Lee's Summit North,16.33,22.6,38.93,34,15,25
Eureka,14.1,24.59,38.69,47,10,26
Marquette,18.76,19.61,38.37,28,29,27
Blair Oaks,18.79,19.48,38.28,27,31,28
Lebanon,16.88,21.14,38.03,31,20,29
Blue Springs,17.02,19.62,36.63,30,28,30
Kirkwood,22.72,12.12,34.84,18,61,31
Ft. Zumwalt West,15.28,19.05,34.33,39,33,32
Cassville,14.4,19.57,33.97,45,30,33
Lee's Summit,16.86,16.74,33.6,32,39,34
Monett,16.15,17.34,33.49,37,37,35
SLUH,19.22,13.6,32.81,24,54,36
Kennett,13.05,19.7,32.75,53,27,37
Raytown,15.71,16.26,31.96,38,42,38
Trinity Catholic,7.93,23.68,31.61,89,13,39
Helias Catholic,16.27,15.15,31.42,35,47,40
Smithville,15.05,15.28,30.33,42,46,41
Nixa,6.05,23.9,29.95,104,11,42
Blue Springs South,18.03,11.7,29.73,29,65,43
Liberty,9.02,20.64,29.66,81,23,44
Farmington,13.32,16.14,29.46,51,43,45
Savannah,16.16,13.18,29.34,36,56,46
Rock Bridge,10.33,18.87,29.2,71,34,47
Carl Junction,15.01,12.56,27.56,43,59,48
Rockwood Summit,13.92,13.37,27.29,49,55,49
Platte County,10.04,17.11,27.15,73,38,50
Battle,22.55,3.76,26.31,20,125,51
Park Hill South,18.98,7.0,25.99,26,101,52
Mt. Vernon,6.58,19.25,25.83,98,32,53
Lamar,11.64,13.16,24.8,60,57,54
Grain Valley,9.7,14.52,24.22,78,50,55
Ava,13.21,10.64,23.85,52,73,56
Valle Catholic,12.56,10.74,23.3,54,71,57
Lutheran St. Charles,12.47,10.6,23.07,55,75,58
Lafayette (Wildwood),8.62,14.1,22.71,85,52,59
North Kansas City,16.55,6.02,22.57,33,105,60
Waynesville,11.96,9.57,21.52,57,84,61
Webster Groves,12.02,9.47,21.49,56,85,62
Summit Christian Academy,10.45,10.17,20.62,69,77,63
Lincoln,10.54,10.06,20.6,68,80,64
Central (Cape Girardeau),11.12,9.46,20.57,63,86,65
Republic,23.71,-3.23,20.48,13,185,66
Lindbergh,6.53,13.8,20.33,99,53,67
Seneca,10.26,9.58,19.84,72,83,68
Glendale,15.16,4.66,19.82,40,118,69
Troy Buchanan,7.9,11.92,19.81,90,64,70
Holt,15.06,4.16,19.22,41,124,71
Center,9.46,9.69,19.15,79,81,72
Thayer,4.35,14.26,18.61,115,51,73
St. Mary's South Side,8.22,10.09,18.32,88,78,74
Hazelwood Central,5.69,12.59,18.28,107,58,75
Hazelwood West,3.72,14.53,18.25,119,49,76
Marshfield,10.43,7.63,18.07,70,98,77
Fox,9.75,8.18,17.93,76,95,78
St. Clair,2.5,15.04,17.54,127,48,79
Neosho,1.15,16.39,17.54,141,41,80
Jefferson City,13.61,3.56,17.17,50,127,81
McCluer North,8.44,8.57,17.0,86,92,82
Hallsville,5.75,11.23,16.98,106,69,83
Mid-Buchanan,6.87,10.07,16.94,94,79,84
Ozark,11.22,5.57,16.79,62,110,85
Lincoln College Prep,10.68,5.94,16.63,65,107,86
Grandview,0.91,15.61,16.52,143,44,87
Kearney,10.55,5.95,16.51,67,106,88
Harrisonville,5.63,10.74,16.36,108,72,89
Fair Grove,9.89,5.6,15.49,74,109,90
Clark County,3.25,12.07,15.32,124,63,91
MICDS,11.22,3.56,14.78,61,126,92
Pattonville,4.57,10.18,14.75,114,76,93
Kickapoo,2.19,12.4,14.6,131,60,94
Branson,2.42,12.09,14.51,129,62,95
Fort Osage,6.07,8.16,14.23,103,96,96
Warrensburg,5.43,8.76,14.19,109,90,97
Scott City,11.91,2.2,14.11,58,133,98
McCluer,2.45,11.29,13.74,128,68,99
Buffalo,8.68,4.9,13.59,83,116,100
Hannibal,7.71,5.85,13.55,91,108,101
Hickman,4.03,9.34,13.37,117,88,102
St. Francis Borgia,6.61,6.65,13.26,96,102,103
Reeds Spring,3.67,9.39,13.07,120,87,104
Vianney,6.6,6.39,13.0,97,104,105
Union,10.58,2.08,12.66,66,135,106
Pierce City,3.77,8.57,12.34,118,91,107
Caruthersville,11.66,0.67,12.33,59,153,108
Hayti,8.96,3.06,12.02,82,130,109
Springfield Catholic,6.82,5.1,11.91,95,114,110
Lawson,2.73,9.04,11.77,125,89,111
Liberty (Wentzville),1.82,9.58,11.4,135,82,112
Excelsior Springs,6.17,5.2,11.37,102,113,113
Mehlville,3.6,7.44,11.04,121,99,114
Boonville,6.31,4.62,10.93,101,119,115
Oak Grove,5.24,5.43,10.67,111,112,116
Richmond,8.66,1.69,10.35,84,139,117
Roosevelt,13.98,-3.96,10.02,48,193,118
Washington,1.66,8.3,9.95,137,94,119
Timberland,-1.12,11.03,9.9,157,70,120
St. Charles West,10.95,-1.31,9.63,64,170,121
Lafayette County,-2.27,11.53,9.26,163,66,122
Southern Boone,6.52,2.56,9.08,100,132,123
Westminster Christian Academy,4.26,4.53,8.79,116,121,124
Winnetonka,8.27,0.28,8.55,87,156,125
Centralia,-2.99,11.41,8.42,172,67,126
Lafayette (St. Joseph),3.48,4.39,7.87,123,122,127
Liberty (Mountain View),9.72,-2.4,7.32,77,178,128
Rolla,5.14,2.16,7.29,112,134,129
Sullivan,-3.85,10.64,6.79,185,74,130
Oak Park,-1.0,7.24,6.25,156,100,131
Priory,4.68,1.07,5.75,113,148,132
Chillicothe,1.94,3.36,5.29,134,128,133
Hollister,-0.76,5.5,4.74,152,111,134
