School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
De Smet Jesuit,34.22,36.55,70.77,2,1,1
Joplin,39.05,21.36,60.41,1,10,2
Christian Brothers College,29.1,22.21,51.31,3,9,3
Liberty North,23.23,27.3,50.53,5,4,4
Rockhurst,14.55,33.61,48.16,17,2,5
Raymore-Peculiar,24.35,22.73,47.07,4,6,6
Francis Howell,19.99,23.69,43.68,7,5,7
Park Hill,9.71,32.31,42.02,20,3,8
Lee's Summit West,18.84,22.4,41.25,9,8,9
Lee's Summit North,16.19,22.48,38.67,14,7,10
Marquette,18.63,19.51,38.14,10,12,11
Blue Springs,16.88,19.49,36.36,12,13,12
Kirkwood,22.6,12.02,34.62,6,23,13
Ft. Zumwalt West,15.16,18.95,34.11,15,14,14
Lee's Summit,16.72,16.62,33.34,13,16,15
SLUH,19.04,13.5,32.54,8,20,16
Blue Springs South,17.9,11.59,29.49,11,25,17
Liberty,8.89,20.52,29.41,21,11,18
Rock Bridge,10.08,18.69,28.77,19,15,19
Lafayette (Wildwood),8.52,14.0,22.52,22,18,20
Lindbergh,6.41,13.7,20.12,24,19,21
Troy Buchanan,7.8,11.81,19.61,23,24,22
Holt,14.95,4.08,19.02,16,29,23
Hazelwood West,3.66,14.46,18.13,28,17,24
Hazelwood Central,5.62,12.52,18.13,25,21,25
Jefferson City,13.45,3.4,16.85,18,30,26
Pattonville,4.48,10.06,14.54,26,27,27
Kickapoo,1.96,12.18,14.14,29,22,28
Hickman,3.78,9.23,13.01,27,28,29
Timberland,-1.22,10.94,9.72,30,26,30
Northwest (Cedar Hill),-5.45,3.23,-2.22,32,31,31
Francis Howell Central,-2.6,-0.11,-2.71,31,32,32
