Date,Home Team,Home Score,Away Team,Away Score
2019-08-30,Butler,0,Adrian,31
2019-08-30,Diamond,12,Ash Grove,44
2019-08-30,Buffalo,36,Ava,38
2019-08-30,SLUH,52,Battle,47
2019-08-30,Raytown,23,Blue Springs South,21
2019-08-30,Eldon,8,Bolivar,54
2019-08-30,South Shelby,16,Bowling Green,12
2019-08-30,Republic,29,Branson,42
2019-08-30,Palmyra,7,Brookfield,6
2019-08-30,Doniphan,2,Cabool,52
2019-08-30,Waynesville,12,Camdenton,39
2019-08-30,Webb City,34,Carl Junction,0
2019-08-30,Miller Career Academy,12,Caruthersville,50
2019-08-30,Aurora,0,Cassville,42
2019-08-30,Central (Kansas City),0,Center,59
2019-08-30,Malden,18,Central (New Madrid County),65
2019-08-30,St. Clair,17,Central (Park Hills),14
2019-08-30,Parkview,49,Central (Springfield),6
2019-08-30,Smithville,40,Central (St. Joseph),0
2019-08-30,Monroe City,6,Centralia,35
2019-08-30,Gateway,0,Clayton,3
2019-08-30,Cole Camp,41,Concordia,7
2019-08-30,Archie,14,Crest Ridge,20
2019-08-30,Ste. Genevieve,49,Dexter,7
2019-08-30,Clopton with Elsberry,7,Duchesne,20
2019-08-30,Van Horn,28,East (Kansas City),27
2019-08-30,Hollister,23,East Newton,16
2019-08-30,Southeast,20,Excelsior Springs,51
2019-08-30,Mountain Grove,7,Fair Grove,29
2019-08-30,Carrollton,14,Fayette,6
2019-08-30,Fox,17,Festus,14
2019-08-30,Ft. Zumwalt North,38,Francis Howell,24
2019-08-30,Kennett,49,Fredericktown,0
2019-08-30,Francis Howell Central,16,Ft. Zumwalt East,12
2019-08-30,Holt,60,Ft. Zumwalt South,6
2019-08-30,Eureka,22,Ft. Zumwalt West,23
2019-08-30,Osage,14,Fulton,6
2019-08-30,North Platte,12,Gallatin,32
2019-08-30,Savannah,12,Grain Valley,14
2019-08-30,North Kansas City,24,Grandview,8
2019-08-30,Father Tolton,0,Hallsville,40
2019-08-30,Paris with Faith Walk,28,Harrisburg,18
2019-08-30,Thayer,30,Hayti,12
2019-08-30,Oakville,3,Hazelwood West,0
2019-08-30,Hannibal,0,Helias Catholic,46
2019-08-30,Cuba,14,Herculaneum,16
2019-08-30,Montgomery County,12,Hermann,30
2019-08-30,Pattonville,7,Hickman,14
2019-08-30,Clark County,42,Highland,6
2019-08-30,West Plains,42,Hillcrest,14
2019-08-30,Sullivan,6,Hillsboro,0
2019-08-30,Sherwood,0,Holden,35
2019-08-30,Sarcoxie,16,Houston,24
2019-08-30,Webster Groves,0,Jackson,48
2019-08-30,Greenfield,6,Jasper,38
2019-08-30,Bishop DuBourg with Hancock,0,Jefferson (Festus),13
2019-08-30,McCluer,8,Jennings,0
2019-08-30,Willard,13,Joplin,36
2019-08-30,Harrisonville,14,Kearney,34
2019-08-30,East Prairie,18,Kelly,21
2019-08-30,Lebanon,28,Kickapoo,7
2019-08-30,Macon,28,Kirksville,20
2019-08-30,Jefferson City,35,Kirkwood,61
2019-08-30,Clinton,0,Lafayette (St. Joseph),53
2019-08-30,Timberland,7,Lafayette (Wildwood),14
2019-08-30,South Callaway,14,Lafayette County,19
2019-08-30,Logan-Rogersville,19,Lamar,38
2019-08-30,Liberty,17,Lee's Summit,12
2019-08-30,Lee's Summit North,21,Liberty North,23
2019-08-30,North Callaway,8,Lincoln,40
2019-08-30,Mehlville,10,Lindbergh,17
2019-08-30,Pierce City,27,Lockwood with Golden City,14
2019-08-30,West Platte,20,Lone Jack with Kingsville,0
2019-08-30,Mark Twain,26,Louisiana,0
2019-08-30,Pleasant Hope,0,Marionville,52
2019-08-30,Parkway North,0,Marquette,27
2019-08-30,Chillicothe,20,Marshall,7
2019-08-30,Blair Oaks,23,Maryville,14
